,T-FAP_1_corr,T-FAP_1_qval
Hotairm1,0.10091646954919979,2.307038680195658e-09
Mbp,0.10086620832298596,2.3517176401738784e-09
Folh1,0.10085542857699537,2.359991009439702e-09
Gm2a,0.10079860358470345,2.4142559001178607e-09
Tbxa2r,0.10061992007033096,2.584498106136899e-09
Sowahc,0.10061941571490358,2.584498106136899e-09
Slc6a8,0.10052305616913552,2.6807430026553723e-09
Klf15,0.10050563375523022,2.6974307395310575e-09
Prkx,0.10040903287240058,2.8029683861521816e-09
Prkcb,0.10039762090015965,2.8147562327402453e-09
Stbd1,0.10027548089418012,2.955228911118353e-09
Vill,0.1002742121132454,2.9554557798250586e-09
Cstb,0.09988163344352013,3.4449955614722724e-09
Reps2,0.09985371643149107,3.482557605429299e-09
Rpl34,0.0997931148604656,3.563659390100031e-09
Por,0.09969435231877787,3.70107043038056e-09
Kcnb2,0.099678353582509,3.723414612805402e-09
Pld3,0.09946290878501134,4.0469922946636575e-09
Fhod1,0.099251648121088,4.388659825953973e-09
Ikzf4,0.09917394892165464,4.521870009960327e-09
Cbx6,0.09911691477733375,4.620569402589827e-09
A330076H08Rik,0.09903293414978481,4.772635701258511e-09
Irgm2,0.09880186645518027,5.2149955226367935e-09
Lrrn1,0.09865525391421248,5.520159806391092e-09
2410080I02Rik,0.09863417364160053,5.562066461825769e-09
Tm7sf3,0.0986229519833792,5.582279139487646e-09
Nostrin,0.09851495783739819,5.818103130951673e-09
Cttnbp2,0.09837731749782112,6.1356309665111265e-09
Slit3,0.09815537548279867,6.665062752810485e-09
Pdcd4,0.09806989298656532,6.886469185186364e-09
Nmb,0.09801439688754074,7.025002784370201e-09
Twist2,0.09791753792857319,7.281679075675213e-09
Ptch1,0.09788602715523302,7.363905858926968e-09
Gnas,0.09776263744663127,7.710002417331952e-09
C3,0.09769635726290166,7.90491597022714e-09
2900041M22Rik,0.09766261115807694,8.007751684734066e-09
Gabre,0.09764599827385244,8.057149401212278e-09
Nog,0.09762186659854183,8.127581243167834e-09
Dnajb1,0.097599287778805,8.193587645847997e-09
Ltbp2,0.09757801674349223,8.25576155400739e-09
Rrad,0.09757699289817777,8.25576155400739e-09
Tspan4,0.09755563085450077,8.315340244631171e-09
Clec1a,0.0975360401514205,8.372961690996942e-09
Impdh2,0.09715370698376688,9.690183922968478e-09
Maff,0.0970199904830744,1.0192025460751111e-08
Eng,0.09691164136734977,1.0626108180969223e-08
Myo10,0.09681784641163509,1.1019690612619619e-08
Rnf19b,0.09673615283068765,1.1373428342256354e-08
Dock10,0.0965343790302362,1.2252234559062242e-08
Serpina3f,0.0963220193964533,1.327332297692081e-08
Cish,0.09608317974520436,1.449057768582366e-08
Tmeff2,0.09601234357539594,1.4865155269826492e-08
Impact,0.09598175432666121,1.5012549968031652e-08
Adora2a,0.09568487222666645,1.6811736065764985e-08
Slc43a1,0.09567331387209749,1.6877146044140968e-08
Ppp1r2,0.09556863547886829,1.7536234962002315e-08
S1pr3,0.09543390811499608,1.8392799866257677e-08
Nfe2l1,0.09535252953176689,1.8949869096456733e-08
Rab11fip2,0.09531234342792992,1.92307934450688e-08
Taf4b,0.09529382306520463,1.9361016990582776e-08
Sptbn1,0.09506012447820542,2.115233372427943e-08
Pds5b,0.09493869634624681,2.212877187767024e-08
Rtn4r,0.09482874767685738,2.3056324087087622e-08
Tcn2,0.0943994806702519,2.700751924433105e-08
Gabarapl1,0.09436747477641709,2.7318454935438775e-08
Tceal3,0.09421365432734939,2.8937398250874295e-08
Tra2b,0.09413737950241625,2.973323090117625e-08
Prr16,0.09401128376296912,3.111132441590104e-08
Pag1,0.09390057142866087,3.2361559980075404e-08
Sgsm2,0.09373518220419005,3.440747316688214e-08
Psmb8,0.0936373617868674,3.562556650256943e-08
Gm15609,0.09352410310132389,3.713093924551073e-08
Stat3,0.09350592629203179,3.737301352707674e-08
Eif4e3,0.09320698200075503,4.1782763517239145e-08
Slitrk6,0.09316833110351003,4.2364166353145434e-08
Hsph1,0.09279291259557597,4.850050232533485e-08
Foxo1,0.09262691199003233,5.156239769717113e-08
Tub,0.09251559741404876,5.365815167645288e-08
Tmem204,0.09248009201138978,5.4335398081724344e-08
Clca2,0.09240706875332662,5.573553060670564e-08
Cdc14a,0.0922885412394723,5.815254319547289e-08
Usp2,0.09203242786008468,6.38693213609566e-08
A730020M07Rik,0.09199207496697168,6.481318623388426e-08
Tra2a,0.09197902064852007,6.510459170146029e-08
Lum,0.09197477614380822,6.518281391595234e-08
Slc15a2,0.09196987071337878,6.525231344179815e-08
Tns3,0.09187055505114414,6.755789525352831e-08
Gm44691,0.09160548529307437,7.416248092293032e-08
Ptpn1,0.09156259696400315,7.521063449371134e-08
Gpld1,0.09152874262598143,7.607544139871192e-08
Mmp2,0.09146576501234853,7.778569915236655e-08
Shisa9,0.09108107962458772,8.951888481988416e-08
Tle1,0.09107974345825878,8.952937894224173e-08
Rnf150,0.09092019391903805,9.474522637009043e-08
Arhgap32,0.09073886237494683,1.0094897642493656e-07
2610300M13Rik,0.09068412621361076,1.0296393300379692e-07
Pik3c2a,0.09065777127601672,1.0388899415912242e-07
Rasgrp2,0.09064881914608956,1.0415366232185267e-07
Rnasel,0.09054411514969947,1.080372048027628e-07
Gli2,0.0902086808518631,1.2126948256033794e-07
Gm11131,0.09019437921158707,1.2186066577470847e-07
1500009L16Rik,0.09018031963954072,1.2244380624004587e-07
Ripor3,0.09013346864654606,1.2446789113684937e-07
Khk,0.09005841597743766,1.2788216969258052e-07
Bche,0.0899937596778513,1.3074471348188788e-07
Dpp7,0.08998416206113467,1.311069321912397e-07
Gm266,0.08995254025345974,1.324824348290631e-07
Sh3d21,0.08970518192096913,1.4450159489301264e-07
Ypel4,0.08970052434402118,1.4469366967451606e-07
Spry2,0.089625104150121,1.4850078625346977e-07
Mlf1,0.08956793776066384,1.5134209414397342e-07
